"Model","Xviewer"
"BlockNumber","1"
"TraceName","CH1","CH2","CH4","CH6",
BlockSize,10010,10010,10010,10010,
Date,2026/06/30,2026/06/30,2026/06/30,2026/06/30,
Time,13:38:29.61850915,13:38:29.61850915,13:38:29.61850915,13:38:29.61850915,
VUnit,V,A,V,V,
HResolution,1.000000e-03,1.000000e-03,1.000000e-03,1.000000e-03,
HOffset,-1.000900e+01,-1.000900e+01,-1.000900e+01,-1.000900e+01,
HUnit,s,s,s,s,
,0.,-0.1833333,1.666667e-002,-8.54375
,0.,-0.1833333,5.e-002,-8.558333
,0.,-0.1833333,1.666667e-002,-8.5625
,0.,-0.15,-1.666667e-002,-8.535417
,0.,-0.15,-1.666667e-002,-8.55
,0.,-0.1833333,1.666667e-002,-8.570833
,0.,-0.15,-1.666667e-002,-8.566667
,0.,-0.15,1.666667e-002,-8.547916
,-3.333334e-002,-0.1833333,-1.666667e-002,-8.560416
,0.,-0.15,1.666667e-002,-8.566667
,0.,-0.1833333,-1.666667e-002,-8.535417
,-3.333334e-002,-0.1833333,1.666667e-002,-8.575
,0.,-0.2166667,1.666667e-002,-8.572917
,0.,-0.15,1.666667e-002,-8.554167
,-3.333334e-002,-0.1833333,1.666667e-002,-8.5375
,0.,-0.1833333,-5.e-002,-8.560416
,-3.333334e-002,-0.1833333,1.666667e-002,-8.570833
,0.,-0.1833333,-1.666667e-002,-8.53125
,0.,-0.15,-1.666667e-002,-8.55
,-3.333334e-002,-0.15,1.666667e-002,-8.570833
,0.,-0.2166667,-1.666667e-002,-8.539583
,-3.333334e-002,-0.1833333,1.666667e-002,-8.410417
,0.,-0.1833333,-1.666667e-002,-8.5625
,0.,-0.1833333,-1.666667e-002,-8.554167
,-3.333334e-002,-0.1833333,-1.666667e-002,-8.535417
,0.,-0.1833333,1.666667e-002,-8.558333
,-3.333334e-002,-0.15,-1.666667e-002,-8.547916
,0.,-0.15,-1.666667e-002,-8.539583
,0.,-0.1833333,1.666667e-002,-8.554167
,-3.333334e-002,-0.15,1.666667e-002,-8.5625
,0.,-0.2166667,-1.666667e-002,-8.558333
,0.,-0.1833333,-1.666667e-002,-8.554167
,-3.333334e-002,-0.15,1.666667e-002,-8.547916
,0.,-0.15,-1.666667e-002,-8.566667
,0.,-0.1833333,-1.666667e-002,-8.5375
,-3.333334e-002,-0.1833333,1.666667e-002,-8.552083
,0.,-0.15,1.666667e-002,-8.58125
